,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,CompassString
0,H02,-87.0,-88.0,-87.69519,-74.0,-80.3003,-89.0,-70.0,-70.0,-87.793945,-89.70832,-200,-200,-89.66656,-200,-81.0,-73.0,-78.0,-86.25799,-59.0,-200,-77.0,-85.0,1
1,H02,-85.73019049999999,-88.50012,-87.69519,-83.30628949999999,-80.3003,-87.499626,-69.687938,-78.279935,-87.793945,-89.70832,-200,-200,-89.66656,-200,-81.26955,-76.00075,-80.02888,-86.25799,-63.1736165,-200,-72.21703,-200.0,1
2,H02,-85.73019049999999,-88.3373795,-87.69519,-85.00275,-80.3003,-87.33295,-69.687938,-73.00075,-87.793945,-89.70832,-200,-200,-89.66656,-200,-81.26955,-74.999664,-84.001495,-86.25799,-63.001,-200,-72.21703,-200.0,0
3,H02,-85.73019049999999,-88.3373795,-88.0,-85.33544,-80.3003,-83.17418,-72.0005,-76.003,-87.793945,-89.70832,-200,-200,-89.66656,-200,-83.0005,-68.926094,-84.66822,-86.25799,-65.335945,-200,-82.00125,-200.0,0
4,H02,-88.33244,-88.3373795,-88.50012,-83.30628949999999,-80.3003,-83.17418,-70.66589,-77.25443,-87.793945,-88.49912,-200,-200,-89.499626,-200,-82.666725,-75.25018,-80.02888,-86.25799,-63.999626,-200,-80.66639,-200.0,0
5,H02,-85.73019049999999,-88.3373795,-87.69519,-83.30628949999999,-80.3003,-85.997375,-71.0,-78.279935,-87.793945,-89.70832,-200,-200,-89.66656,-200,-81.74844,-77.20599,-80.02888,-86.25799,-63.1736165,-200,-79.49775,-200.0,0
6,H02,-88.24918,-88.3373795,-87.69519,-83.24794,-86.0,-83.17418,-69.687938,-77.60459,-87.793945,-89.70832,-200,-200,-89.66656,-200,-81.26955,-76.66921,-84.50087,-86.25799,-63.197304,-200,-72.21703,-200.0,0
7,H02,-85.73019049999999,-88.3373795,-89.33411,-83.30628949999999,-80.3003,-83.17418,-69.687938,-77.83823,-87.793945,-89.70832,-200,-200,-89.66656,-200,-81.26955,-68.926094,-85.80459,-86.25799,-62.32712,-200,-72.21703,-200.0,1
8,H02,-87.9986,-87.66605,-86.9965,-84.2012,-80.3003,-83.17418,-69.3952,-76.71121,-88.99538,-88.99983,-200,-200,-89.66656,-200,-82.8019,-68.926094,-86.172165,-86.25799,-63.43036,-200,-78.996704,-88.00075,0
9,H02,-85.73019049999999,-88.3373795,-84.79061,-83.30628949999999,-80.3003,-83.17418,-67.82217,-78.279935,-88.39451,-89.50075,-200,-200,-89.66656,-200,-82.16535,-75.85407,-80.02888,-86.25799,-63.1736165,-200,-79.66698,-200.0,0
10,H02,-87.496544,-86.998375,-87.69519,-83.30628949999999,-80.3003,-84.192505,-69.687938,-78.279935,-88.161026,-89.70832,-200,-200,-89.66656,-200,-81.26955,-76.62902,-84.27822,-86.25799,-63.1736165,-200,-72.21703,-200.0,0
11,H02,-85.73019049999999,-88.3373795,-84.993095,-83.66523,-83.9995,-82.988266,-69.687938,-75.48672,-87.793945,-89.70832,-200,-200,-89.66656,-200,-81.26955,-75.88414,-84.36923,-86.25799,-63.376095,-200,-72.21703,-200.0,0
12,H02,-85.73019049999999,-88.3373795,-87.69519,-82.131744,-80.3003,-83.17418,-67.560165,-75.544395,-87.793945,-89.70832,-200,-200,-89.66656,-200,-81.26955,-68.926094,-84.44011,-86.25799,-62.434902,-200,-78.708374,-89.00133,0
13,H02,-86.56245,-87.1993,-87.69519,-83.30628949999999,-80.3003,-83.133736,-69.002625,-75.28635,-88.56922,-89.70832,-200,-200,-89.799,-200,-83.86698,-68.926094,-80.02888,-86.25799,-61.782276,-200,-77.73642,-88.50012,1
14,H02,-86.617615,-86.83108,-87.69519,-83.30628949999999,-80.3003,-83.49515,-68.777596,-78.279935,-89.1279,-89.70832,-200,-200,-89.66656,-200,-83.63157,-75.89589,-80.02888,-86.25799,-63.1736165,-200,-78.2155,-88.199196,1
15,H02,-86.66058,-88.3373795,-87.69519,-81.989044,-80.3003,-83.17418,-69.687938,-75.352356,-87.793945,-89.70832,-200,-200,-89.33037,-200,-81.26955,-75.99801,-84.09122,-86.25799,-61.894905,-200,-72.21703,-200.0,1
16,H02,-85.73019049999999,-88.3373795,-84.99409,-81.09135,-80.3003,-83.17418,-69.30725,-75.407455,-87.793945,-89.70832,-200,-200,-89.66656,-200,-81.26955,-68.926094,-83.620316,-89.977356,-61.563522,-200,-77.88939,-89.00299,1
